,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
486,in,224,450,40,25,2,244.0,462.5,0.017337031900138695,0.021052631578947368,0
487,connection,288,450,218,25,2,397.0,462.5,0.017337031900138695,0.11473684210526315,0
488,with,528,450,88,25,2,572.0,462.5,0.017337031900138695,0.04631578947368421,0
489,this,641,450,83,25,2,682.5,462.5,0.017337031900138695,0.04368421052631579,0
490,exercise,750,450,172,25,2,836.0,462.5,0.017337031900138695,0.09052631578947369,0
491,include,950,450,148,25,2,1024.0,462.5,0.017337031900138695,0.07789473684210527,0
492,bending,1122,450,154,31,2,1199.0,465.5,0.021497919556171984,0.08105263157894736,0
493,and,1300,451,64,24,2,1332.0,463.0,0.016643550624133148,0.03368421052631579,0
494,straightening,1389,450,283,31,2,1530.5,465.5,0.021497919556171984,0.14894736842105263,0
495,the,1697,451,61,24,2,1727.5,463.0,0.016643550624133148,0.032105263157894734,0
496,"arms,",1784,457,100,22,2,1834.0,468.0,0.015256588072122053,0.05263157894736842,0
497,sideways,3,540,171,30,2,88.5,555.0,0.020804438280166437,0.09,0
498,"movements,",198,544,212,25,2,304.0,556.5,0.017337031900138695,0.11157894736842106,0
499,lunging,443,540,151,31,2,518.5,555.5,0.021497919556171984,0.07947368421052632,0
500,in,620,540,40,25,2,640.0,552.5,0.017337031900138695,0.021052631578947368,0
501,the,685,541,61,24,2,715.5,553.0,0.016643550624133148,0.032105263157894734,0
502,style,773,541,105,29,2,825.5,555.5,0.02011095700416089,0.05526315789473684,0
503,of,904,542,39,23,2,923.5,553.5,0.0159500693481276,0.020526315789473684,0
504,a,970,548,19,17,2,979.5,556.5,0.011789181692094313,0.01,0
505,"boxer,",1012,541,124,28,2,1074.0,555.0,0.019417475728155338,0.06526315789473684,0
506,and,1168,541,64,24,2,1200.0,553.0,0.016643550624133148,0.03368421052631579,0
507,bending,1254,540,154,31,2,1331.0,555.5,0.021497919556171984,0.08105263157894736,0
508,and,1432,541,64,24,2,1464.0,553.0,0.016643550624133148,0.03368421052631579,0
509,straightening,1521,540,283,31,2,1662.5,555.5,0.021497919556171984,0.14894736842105263,0
510,the,1829,541,61,24,2,1859.5,553.0,0.016643550624133148,0.032105263157894734,0
511,trunk.,3,631,121,24,2,63.5,643.0,0.016643550624133148,0.06368421052631579,0
512,Another,154,631,151,24,2,229.5,643.0,0.016643550624133148,0.07947368421052632,0
