,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
579,not,529,995,63,21,2,560.5,1005.5,0.014563106796116505,0.03315789473684211,0
580,resume,618,998,128,18,2,682.0,1007.0,0.012482662968099861,0.06736842105263158,0
581,until,771,991,106,25,2,824.0,1003.5,0.017337031900138695,0.05578947368421053,0
582,1929.,905,995,99,21,2,954.5,1005.5,0.014563106796116505,0.05210526315789474,0
583,Vesto,1034,995,108,21,2,1088.0,1005.5,0.014563106796116505,0.056842105263157895,0
584,Melvin,1166,991,132,25,2,1232.0,1003.5,0.017337031900138695,0.06947368421052631,0
585,"Slipher,",1322,991,166,31,2,1405.0,1006.5,0.021497919556171984,0.08736842105263158,0
586,the,1521,992,61,24,2,1551.5,1004.0,0.016643550624133148,0.032105263157894734,0
587,observatory,1608,992,239,29,2,1727.5,1006.5,0.02011095700416089,0.12578947368421053,0
588,"director,",1,1081,189,29,2,95.5,1095.5,0.02011095700416089,0.09947368421052631,0
589,summarily,223,1081,194,30,2,320.0,1096.0,0.020804438280166437,0.10210526315789474,0
590,handed,441,1082,131,24,2,506.5,1094.0,0.016643550624133148,0.06894736842105263,0
591,the,597,1082,61,24,2,627.5,1094.0,0.016643550624133148,0.032105263157894734,0
592,job,684,1081,63,31,2,715.5,1096.5,0.021497919556171984,0.03315789473684211,0
593,of,772,1083,39,23,2,791.5,1094.5,0.0159500693481276,0.020526315789473684,0
594,locating,839,1081,173,31,2,925.5,1096.5,0.021497919556171984,0.09105263157894737,0
595,Planet,1036,1082,128,24,2,1100.0,1094.0,0.016643550624133148,0.06736842105263158,0
596,X,1189,1085,21,21,2,1199.5,1095.5,0.014563106796116505,0.011052631578947368,0
597,to,1235,1085,39,21,2,1254.5,1095.5,0.014563106796116505,0.020526315789473684,0
598,23-year-old,1300,1082,240,29,2,1420.0,1096.5,0.02011095700416089,0.12631578947368421,0
599,Clyde,1564,1082,106,29,2,1617.0,1096.5,0.02011095700416089,0.05578947368421053,0
600,"Tombaugh,",1696,1082,188,30,2,1790.0,1097.0,0.020804438280166437,0.09894736842105263,0
601,who,0,1172,64,24,2,32.0,1184.0,0.016643550624133148,0.03368421052631579,0
602,had,89,1172,65,24,2,121.5,1184.0,0.016643550624133148,0.034210526315789476,0
603,just,178,1171,84,31,2,220.0,1186.5,0.021497919556171984,0.04421052631578947,0
604,arrived,288,1171,152,25,2,364.0,1183.5,0.017337031900138695,0.08,0
605,at,464,1175,40,21,2,484.0,1185.5,0.014563106796116505,0.021052631578947368,0
606,the,531,1172,61,24,2,561.5,1184.0,0.016643550624133148,0.032105263157894734,0
607,Lowell,618,1172,127,24,2,681.5,1184.0,0.016643550624133148,0.0668421052631579,0
608,Observatory,771,1172,240,29,2,891.0,1186.5,0.02011095700416089,0.12631578947368421,0
609,after,1036,1173,105,23,2,1088.5,1184.5,0.0159500693481276,0.05526315789473684,0
610,Slipher,1168,1171,149,31,2,1242.5,1186.5,0.021497919556171984,0.07842105263157895,0
611,had,1343,1172,65,24,2,1375.5,1184.0,0.016643550624133148,0.034210526315789476,0
